Id,Title,Author,Average Rating,Number of ratings,Year of publishing,Url of image,Genre
28257707-the-subtle-art-of-not-giving-a-f-c,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life (ebook),Mark Manson,3.92,706446,2016,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465761302l/28257707._SX50_.jpg,nonfiction
3109.The_Omnivore_s_Dilemma,The Omnivore's Dilemma: A Natural History of Four Meals (Hardcover),Michael Pollan,4.15,198767,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393804353l/3109._SY75_.jpg,nonfiction
39507318-the-library-,The Library Book (Hardcover),Susan Orlean,3.88,99745,2018,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1599591284l/39507318._SY75_.jpg,nonfiction
12609433-the-power-of-habit,The Power of Habit: Why We Do What We Do in Life and Business (Hardcover),Charles Duhigg,4.11,409847,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1545854312l/12609433._SY75_.jpg,nonfiction
11468377-thinking-fast-and-sl,"Thinking, Fast and Slow (Hardcover)",Daniel Kahneman,4.16,380633,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1317793965l/11468377._SX50_.jpg,nonfiction
37976541-bad-blood,Bad Blood: Secrets and Lies in a Silicon Valley Startup (Hardcover),John Carreyrou,4.38,210027,2018,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1556268702l/37976541._SX50_.jpg,nonfiction
19501.Eat_Pray_Love,"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia (Paperback)",Elizabeth Gilbert,3.59,1587447,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503066414l/19501._SY75_.jpg,nonfiction
3869.A_Brief_History_of_Time,A Brief History of Time (Paperback),Stephen Hawking,4.19,356025,1988,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333578746l/3869._SX50_.jpg,nonfiction
32191710-astrophysics-for-people-in-a-hurry,Astrophysics for People in a Hurry (Hardcover),Neil deGrasse Tyson,4.07,139551,2017,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562761669l/32191710._SY75_.jpg,nonfiction
63697.The_Man_Who_Mistook_His_Wife_for_a_Hat_and_Other_Clinical_Tale,The Man Who Mistook His Wife for a Hat and Other Clinical Tales (Paperback),Oliver Sacks,4.05,186297,1985,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1447047702l/63697._SY75_.jpg,nonfiction
31409135-the-radium-girl,The Radium Girls: The Dark Story of America's Shining Women (Hardcover),Kate  Moore,4.12,104929,2017,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1496007867l/31409135._SY75_.jpg,nonfiction
31409135-the-radium-girl,The Radium Girls: The Dark Story of America's Shining Women (Hardcover),Kate  Moore,4.12,104929,2017,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1496007867l/31409135._SY75_.jpg,nonfiction
1869.Nickel_and_Dimed,Nickel and Dimed: On (Not) Getting by in America,Barbara Ehrenreich,3.64,188210,2001,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442378091l/1869._SY75_.jpg,nonfiction
25852784-evicted,Evicted: Poverty and Profit in the American City (Hardcover),Matthew Desmond,4.46,77523,2016,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453060710l/25852784._SX50_.jpg,nonfiction
4137.Me_Talk_Pretty_One_Day,Me Talk Pretty One Day (Paperback),David Sedaris,3.99,655832,2000,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431013639l/4137._SY75_.jpg,nonfiction
21413662-what-if-serious-scientific-answers-to-absurd-hypothetical-question,What If? Serious Scientific Answers to Absurd Hypothetical Questions (Hardcover),Randall Munroe,4.12,147991,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451351509l/21413662._SX50_.jpg,nonfiction
51152447-caste,Caste: The Origins of Our Discontents (Hardcover),Isabel Wilkerson,4.55,89286,2020,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1597267568l/51152447._SY75_.jpg,nonfiction
23453112-modern-romance,Modern Romance (Hardcover),Aziz Ansari,3.8,178856,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432335014l/23453112._SY75_.jpg,nonfiction
20696006-being-mortal,Being Mortal: Medicine and What Matters in the End (Hardcover),Atul Gawande,4.43,153943,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408324949l/20696006._SY75_.jpg,nonfiction
10847.Under_the_Banner_of_Heaven,Under the Banner of Heaven: A Story of Violent Faith (Paperback),Jon Krakauer,3.98,174232,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356441391l/10847._SY75_.jpg,nonfiction
13214.I_Know_Why_the_Caged_Bird_Sing,"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,4.25,459667,1969,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327957927l/13214._SY75_.jpg,nonfiction
2767.A_People_s_History_of_the_United_State,A People's History of the United States (Paperback),Howard Zinn,4.06,218366,1980,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494279423l/2767._SY75_.jpg,nonfiction
43848929-talking-to-stranger,Talking to Strangers: What We Should Know About the People We Don’t Know (Hardcover),Malcolm Gladwell,4.02,210805,2019,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549393502l/43848929._SX50_.jpg,nonfiction
6900.Tuesdays_with_Morrie,Tuesdays with Morrie (Paperback),Mitch Albom,4.12,858473,1997,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1423763749l/6900._SY75_.jpg,nonfiction
25189315-smoke-gets-in-your-eyes-other-lessons-from-the-crematory,Smoke Gets in Your Eyes & Other Lessons from the Crematory (Paperback),Caitlin Doughty,4.16,69953,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436549658l/25189315._SX50_.jpg,nonfiction
40121378-atomic-habit,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones (Kindle Edition),James Clear,4.36,278402,2018,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1535115320l/40121378._SY75_.jpg,nonfiction
26074156-hunger,Hunger: A Memoir of (My) Body,Roxane Gay,4.16,92680,2017,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1448064366l/26074156._SY75_.jpg,nonfiction
9938498-in-the-garden-of-beast,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin (Hardcover)",Erik Larson,3.83,185313,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327864303l/9938498._SY75_.jpg,nonfiction
37570546-maybe-you-should-talk-to-someone,"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed (Hardcover)",Lori Gottlieb,4.37,195649,2019,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1547189796l/37570546._SY75_.jpg,nonfiction
33313.Kitchen_Confidential,Kitchen Confidential: Adventures in the Culinary Underbelly (Paperback),Anthony Bourdain,4.08,259077,2000,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433739086l/33313._SY75_.jpg,nonfiction
41104077-invisible-women,Invisible Women: Data Bias in a World Designed for Men (Hardcover),Caroline Criado Pérez,4.39,58638,2019,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1617113740l/41104077._SY75_.jpg,nonfiction
386187.Midnight_in_the_Garden_of_Good_and_Evil,Midnight in the Garden of Good and Evil (Paperback),John Berendt,3.91,248621,1994,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427166915l/386187._SY75_.jpg,nonfiction
5632446-columbine,Columbine (Hardcover),Dave Cullen,4.26,80730,2009,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442939134l/5632446._SY75_.jpg,nonfiction
8171378-the-warmth-of-other-sun,The Warmth of Other Suns: The Epic Story of America's Great Migration (Hardcover),Isabel Wilkerson,4.39,83014,2010,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433354252l/8171378._SY75_.jpg,nonfiction
1097.Fast_Food_Nation,Fast Food Nation: The Dark Side of the All-American Meal (Paperback),Eric Schlosser,3.74,206774,2001,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554229727l/1097._SY75_.jpg,nonfiction
4865.How_to_Win_Friends_and_Influence_People,How to Win Friends and Influence People (Paperback),Dale Carnegie,4.21,749592,1936,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442726934l/4865._SY75_.jpg,nonfiction
25953369-hidden-figure,Hidden Figures (Paperback),Margot Lee Shetterly,3.92,98293,2016,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464022031l/25953369._SY75_.jpg,nonfiction
22551730-dead-wake,Dead Wake: The Last Crossing of the Lusitania (Hardcover),Erik Larson,4.07,125761,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408923747l/22551730._SY75_.jpg,nonfiction
12391521-the-psychopath-test,The Psychopath Test: A Journey Through the Madness Industry (Paperback),Jon Ronson,3.94,134675,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1364166270l/12391521._SX50_.jpg,nonfiction
